Restaurant ID,Restaurant Name,City,country name,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes
53,Amber,New Delhi,India,"N-19, Connaught Place, New Delhi",Connaught Place,"Connaught Place, New Delhi",77.220891,28.630197,indian,1800,Indian Rupees(Rs.),Yes,Yes,No,No,3,2.6,Orange,Average,152
55,Berco's,New Delhi,India,"G-2/43, Middle Circle, Connaught Place, New Delhi",Connaught Place,"Connaught Place, New Delhi",77.217298,28.632452,Chinese,1100,Indian Rupees(Rs.),Yes,Yes,No,No,3,3.9,Yellow,Good,2639
60,Colonel's Kababz,New Delhi,India,"29, Defence Colony Market, Defence Colony, New Delhi",Defence Colony,"Defence Colony, New Delhi",77.230591,28.574036,indian,900,Indian Rupees(Rs.),Yes,No,No,No,2,3.2,Orange,Average,600
64,Diva - The Italian Restaurant,New Delhi,India,"M-8A, M Block Market, Greater Kailash (GK) 2, New Delhi",Greater Kailash (GK) 2,"Greater Kailash (GK) 2, New Delhi",77.243186,28.534202,italian,2500,Indian Rupees(Rs.),Yes,Yes,No,No,4,3.8,Yellow,Good,372
66,Embassy,New Delhi,India,"11-D, Connaught Place, New Delhi",Connaught Place,"Connaught Place, New Delhi",77.221003,28.633679,indian,2000,Indian Rupees(Rs.),Yes,Yes,No,No,4,3.5,Yellow,Good,706
67,Fa Yian,New Delhi,India,"A-25/5, Middle Circle, Connaught Place, New Delhi",Connaught Place,"Connaught Place, New Delhi",77.217298,28.632811,Chinese,1200,Indian Rupees(Rs.),Yes,No,No,No,3,4,Green,Very Good,412
69,Chungwa,New Delhi,India,"M-34, M Block Market, Greater Kailash (GK) 2, New Delhi",Greater Kailash (GK) 2,"Greater Kailash (GK) 2, New Delhi",77.243138,28.533914,Chinese,1100,Indian Rupees(Rs.),Yes,Yes,No,No,3,3.3,Orange,Average,489
73,Ichiban,New Delhi,India,"9, Pandara Road Market, New Delhi",Pandara Road Market,"Pandara Road Market, New Delhi",77.229789,28.608071,Chinese,1200,Indian Rupees(Rs.),Yes,Yes,No,No,3,3.9,Yellow,Good,768
89,Naivedyam,New Delhi,India,"Shop 1, Hauz Khas Village, New Delhi",Hauz Khas Village,"Hauz Khas Village, New Delhi",77.195275,28.555157,indian,500,Indian Rupees(Rs.),No,Yes,No,No,2,4.2,Green,Very Good,1627
93,Princess Garden,New Delhi,India,"E-32, South Extension 2, New Delhi",South Extension 2,"South Extension 2, New Delhi",77.219229,28.568428,indian,1200,Indian Rupees(Rs.),Yes,No,No,No,3,2.7,Orange,Average,31
