Rule,Head Coverage,Std Confidence,PCA Confidence,Positive Examples,Body size,PCA Body size,Functional variable,Std. Lower Bound,PCA Lower Bound,PCA Conf estimation
?f  <http://www.wikidata.org/prop/direct/P17>  ?b  ?a  <http://www.wikidata.org/prop/direct/P27>  ?f   => ?a  <http://www.wikidata.org/prop/direct/P27>  ?b,0.248578811,0.993801653,0.993801653,481,484,484,?a,0.0,0.0,0.0
?e  <http://www.wikidata.org/prop/direct/P22>  ?b  ?a  <http://www.wikidata.org/prop/direct/P3373>  ?e   => ?a  <http://www.wikidata.org/prop/direct/P22>  ?b,0.090573013,0.986577181,0.986577181,147,149,149,?a,0.0,0.0,0.0
?a  <http://www.wikidata.org/prop/direct/P25>  ?f  ?b  <http://www.wikidata.org/prop/direct/P26>  ?f   => ?a  <http://www.wikidata.org/prop/direct/P22>  ?b,0.051139864,0.965116279,0.965116279,83,86,86,?a,0.0,0.0,0.0
?f  <http://www.wikidata.org/prop/direct/P21>  ?b  ?a  <http://www.wikidata.org/prop/direct/P22>  ?f   => ?a  <http://www.wikidata.org/prop/direct/P21>  ?b,0.0980876,0.957831325,0.957831325,159,166,166,?a,0.0,0.0,0.0
?e  <http://www.wikidata.org/prop/direct/P25>  ?b  ?a  <http://www.wikidata.org/prop/direct/P3373>  ?e   => ?a  <http://www.wikidata.org/prop/direct/P25>  ?b,0.087960075,0.952702703,0.959183673,141,148,147,?a,0.0,0.0,0.0
?a  <http://www.wikidata.org/prop/direct/P22>  ?f  ?f  <http://www.wikidata.org/prop/direct/P734>  ?b   => ?a  <http://www.wikidata.org/prop/direct/P734>  ?b,0.093975904,0.928571429,0.928571429,156,168,168,?a,0.0,0.0,0.0
?a  <http://www.wikidata.org/prop/direct/P3373>  ?e  ?e  <http://www.wikidata.org/prop/direct/P734>  ?b   => ?a  <http://www.wikidata.org/prop/direct/P734>  ?b,0.084337349,0.927152318,0.927152318,140,151,151,?a,0.0,0.0,0.0
?f  <http://www.wikidata.org/prop/direct/P21>  ?b  ?a  <http://www.wikidata.org/prop/direct/P3373>  ?f   => ?a  <http://www.wikidata.org/prop/direct/P21>  ?b,0.084515731,0.919463087,0.919463087,137,149,149,?a,0.0,0.0,0.0
?a  <http://www.wikidata.org/prop/direct/P22>  ?f  ?f  <http://www.wikidata.org/prop/direct/P26>  ?b   => ?a  <http://www.wikidata.org/prop/direct/P25>  ?b,0.051777916,0.821782178,0.855670103,83,101,97,?a,0.0,0.0,0.0
?a  <http://www.wikidata.org/prop/direct/P22>  ?f  ?f  <http://www.wikidata.org/prop/direct/P937>  ?b   => ?a  <http://www.wikidata.org/prop/direct/P937>  ?b,0.07680798,0.802083333,0.802083333,154,192,192,?a,0.0,0.0,0.0
?a  <http://www.wikidata.org/prop/direct/P22>  ?f  ?f  <http://www.wikidata.org/prop/direct/P53>  ?b   => ?a  <http://www.wikidata.org/prop/direct/P53>  ?b,0.151315789,0.766666667,1,23,30,23,?a,0.0,0.0,0.0
?a  <http://www.wikidata.org/prop/direct/P3373>  ?f  ?f  <http://www.wikidata.org/prop/direct/P937>  ?b   => ?a  <http://www.wikidata.org/prop/direct/P937>  ?b,0.065835411,0.754285714,0.754285714,132,175,175,?a,0.0,0.0,0.0
?f  <http://www.wikidata.org/prop/direct/P27>  ?b  ?a  <http://www.wikidata.org/prop/direct/P3373>  ?f   => ?a  <http://www.wikidata.org/prop/direct/P27>  ?b,0.064082687,0.716763006,775,124,173,160,?a,0.0,0.0,0.0
?a  <http://www.wikidata.org/prop/direct/P22>  ?f  ?f  <http://www.wikidata.org/prop/direct/P27>  ?b   => ?a  <http://www.wikidata.org/prop/direct/P27>  ?b,0.06873385,0.633333333,0.675126904,133,210,197,?a,0.0,0.0,0.0
?a  <http://www.wikidata.org/prop/direct/P3373>  ?f  ?f  <http://www.wikidata.org/prop/direct/P53>  ?b   => ?a  <http://www.wikidata.org/prop/direct/P53>  ?b,0.138157895,0.617647059,1,21,34,21,?a,0.0,0.0,0.0
?f  <http://www.wikidata.org/prop/direct/P3373>  ?b  ?a  <http://www.wikidata.org/prop/direct/P3373>  ?f   => ?a  <http://www.wikidata.org/prop/direct/P3373>  ?b,0.170821114,0.578163772,0.578163772,233,403,403,?b,0.0,0.0,0.0
?a  <http://www.wikidata.org/prop/direct/P19>  ?b  ?a  <http://www.wikidata.org/prop/direct/P20>  ?b   => ?a  <http://www.wikidata.org/prop/direct/P937>  ?b,0.053865337,0.559585492,0.559585492,108,193,193,?a,0.0,0.0,0.0
?f  <http://www.wikidata.org/prop/direct/P17>  ?b  ?a  <http://www.wikidata.org/prop/direct/P19>  ?f   => ?a  <http://www.wikidata.org/prop/direct/P27>  ?b,0.456330749,0.543050431,0.587101064,883,1626,1504,?a,0.0,0.0,0.0
?f  <http://www.wikidata.org/prop/direct/P19>  ?b  ?a  <http://www.wikidata.org/prop/direct/P3373>  ?f   => ?a  <http://www.wikidata.org/prop/direct/P19>  ?b,0.050275904,0.522292994,0.522292994,82,157,157,?a,0.0,0.0,0.0
?f  <http://www.wikidata.org/prop/direct/P106>  ?b  ?a  <http://www.wikidata.org/prop/direct/P22>  ?f   => ?a  <http://www.wikidata.org/prop/direct/P106>  ?b,0.045134676,0.521008403,0.521008403,186,357,357,?a,0.0,0.0,0.0
?f  <http://www.wikidata.org/prop/direct/P17>  ?b  ?a  <http://www.wikidata.org/prop/direct/P937>  ?f   => ?a  <http://www.wikidata.org/prop/direct/P27>  ?b,0.428423773,0.514587213,0.556749496,829,1611,1489,?a,0.0,0.0,0.0
?f  <http://www.wikidata.org/prop/direct/P17>  ?b  ?a  <http://www.wikidata.org/prop/direct/P20>  ?f   => ?a  <http://www.wikidata.org/prop/direct/P27>  ?b,0.164857881,0.486280488,0.528145695,319,656,604,?a,0.0,0.0,0.0
?a  <http://www.wikidata.org/prop/direct/P26>  ?e  ?e  <http://www.wikidata.org/prop/direct/P53>  ?b   => ?a  <http://www.wikidata.org/prop/direct/P53>  ?b,0.052631579,0.470588235,0.5,8,17,16,?a,0.0,0.0,0.0
